question,option_1,option_2,option_3,option_4,answer
太陽之為病，脈浮，頭項強痛而惡寒。,脈浮,中風,喘,嘔逆,0
太陽病，發熱，汗出，惡風，脈緩者，名為中風。,陽浮,喘,體痛,發熱,3
太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,發熱,嘔逆,陽浮,惡寒,0
太陽中風，陽浮而陰弱，陽浮者，熱自發，陰弱者，汗自出，嗇嗇惡寒，淅淅惡風，翕翕發熱，鼻鳴乾嘔者，桂枝湯主之。,發熱,喘,惡寒,太陽病,0
太陽病， 頭痛，發熱，汗出，惡風，桂枝湯主之。,發熱,嘔逆,煩躁,發熱,0
（上）太陽病三日，已發汗，若吐、若下、若溫針，仍不解者，此為壞病，桂枝不中與之也。觀其脈證，知犯何逆，隨證治之。,汗出,體痛,太陽病,惡寒,2
太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,汗出,太陽病,脈浮,體痛,1
太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,汗出,發熱,發熱,喘,1
服桂枝湯，大汗出，脈洪大者，與桂枝湯如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,脈浮,陰弱,汗出,中風,2
服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,頭痛,喘,中風,汗出,3
太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,陽浮,脈浮,發熱,惡寒,2
太陽病，項背強幾幾，無汗惡風，葛根湯主之。,脈浮,太陽病,體痛,頭痛,1
太陽與陽明合病者，必自下利，葛根湯主之。,陽浮,發熱,嘔逆,汗出,1
太陽與陽明合病，不下利但嘔者，葛根加半夏湯主之。,中風,發熱,太陽病,頭痛,1
太陽病，桂枝證，醫反下之，利遂不止，脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,中風,陰弱,頭痛,汗出,3
